ID,Name,Eligibility Criteria,Description Summary
28,Tuition Fees and Examination Fees to SBC Students,Class 11 to PhD level,"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help SBC category students studying from Class 11 to PhD level"
29,"Rajarshi Chhatrapati Shahu Maharaj  Merit Scholarship for students
studying in 11th & 12thstandard of VJNT & SBCcategory",,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students"
30,Jawaharlal Nehru University Scholarship,,"Jawaharlal SchemeNehru University  2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to provide financial assistance to students who are enrolled in UG and PG courses at Jawaharlal Nehru University"
31,Government Vidyaniketan Scholars,Class 10 passed students,"Government Vidyaniketan Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to financially help Class 10 passed students"
32,IDFC FIRST Bank Education Loans,,"Under this programme, the students will be offered collateral-free education loans up to INR 40 Lakh to pursue their higher studies at an institution of their choice"
33,IET India Scholarship Award,,IET India Scholarship Award is India’s largest scholarship programme for undergraduate engineering students
34,Medhaavi Engineering Scholarship Program,undergraduate engineering courses at specified 20 NITs across India and encourage them to pursue their higher studies; engineering courses (any year) at specified institutions will be provided with a one-time fixed scholarship of INR 50,"The Medhaavi Engineering Scholarship Program 2023-24 is a CSR initiative of Bharat Petroleum Corporation Limited (BPCL) that aims to provide financial assistance to underprivileged students pursuing undergraduate engineering courses at specified 20 NITs across India and encourage them to pursue their higher studies, gain self-confidence, achieve independence and become employable"
35,CNH-ITC Mentorship Program,,"CNH-ITC Mentorship Program 2023 is an initiative of India Technology Centre (ITC), an entity of CNH Industrial that aims to enhance the professional skills, overall development and employability of underprivileged students by imparting mentorship support to them"
36,Goonj Grassroots Fellowship,,Goonj Grassroots Fellowship 2023-24 is offered by Goonj (a non-profit organisation) to students who have passed their matriculation examination
37,CSIR-HRDG Research Associateship,,"CSIR-HRDG Research Associateship 2023 is an opportunity offered by the Human Resource Development Group of Council of Scientific and Industrial Research (CSIR), New Delhi to graduates and postgraduates in various fields of Science and Technology"
38,SOF International Commerce Olympiad (ICO),Classes 11 and 12 are eligible to participate,"SOF International Commerce Olympiad (ICO) 2023-24 is an opportunity offered by the Science Olympiad Foundation (SOF)* in partnership with the Institute of Company Secretaries of India (a statutory body under an Act of Parliament, under the administrative control of The Ministry of Corporate Affairs)"
39,Dr. Reddy's Foundation Sashakt Scholarship,,Dr
40,VAIBHAV Fellowship,,"VAIBHAV Fellowship 2023 is an opportunity offered by the Department of Science and Technology, New Delhi to Ph"
41,Fulbright-Nehru Doctoral Research Fellowships,,Fulbright-Nehru Doctoral Research Fellowships 2023-24 is an opportunity offered by the United States-India Educational Foundation (USIEF) to Indian scholars who are registered for a Ph
42,Fulbright Nehru Academic and Professional Excellence Fellowships,,Fulbright Nehru Academic and Professional Excellence Fellowships 2023-24 is an initiative of the United States-India Educational Foundation (USIEF) for Ph
43,Fulbright Nehru Post Doctoral Fellowships,,Fulbright Nehru Post Doctoral Fellowships 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Indian faculty and researchers who are in the early stages of their research careers in India
44,Fulbright Kalam Climate Fellowship for Doctoral Research,,Fulbright Kalam Climate Fellowship for Doctoral Research 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Ph
45,Fulbright Kalam Climate Fellowship for Post Doctoral Research,,Fulbright Kalam Climate Fellowship for Post Doctoral Research 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Indian faculty and researchers
46,Technology Translation Award (SERB-TETRA),,Technology Translation Award (SERB-TETRA) 2023 is an opportunity offered by the Science and Engineering Research Board (SERB) to Ph
47,COLLEGE BOARD INDIA SCHOLARS PROGRAM,,Up to 100% Tuition Fee Scholarships at Leading Universities of India Global Higher Education Alliance Take the SAT at discounted prices in India
48,All India Drawing Competition Youva Masterstroke ,Classes from nursery to 10,"All India Drawing Competition Youva Masterstroke 2023 is an opportunity offered by Navneet Education Limited (manufacturer of educational books, stationery, general books, and children's books in multiple Indian and foreign languages)"
49,Prodigy Finance-GyanDhan Scholarship,,Prodigy Finance-GyanDhan Scholarship 2023 is an opportunity offered by GyanDhan (India’s first education financing marketplace) in partnership with Prodigy Finance*
50,GyanDhan Scholarship,,GyanDhan Scholarship 2023 is an opportunity offered by *Gyandhan to financially support postgraduate-level students
51,Abel Visiting Scholarship,,Abel Visiting Scholarship 2023 is an opportunity offered by the Commission for Developing Countries (CDC) of the International Mathematical Union (IMU)* and is fully funded by the Abel Prize in Mathematics
52,Arturo Falaschi Postdoctoral Fellowships,,"Arturo Falaschi Postdoctoral Fellowships, ICGEB, New Delhi 2023 is an opportunity offered by the International Center for Genetic Engineering and Biotechnology (ICGEB) for Ph"
53,Dr. Reddy's Foundation Sashakt Scholarship,,Dr
54,Kind Circle Scholarship for Meritorious Students,,Kind Circle Scholarship for Meritorious Students is an initiative to support academically meritorious students coming from under-privileged section of society to build a foundation for their bright future
55,Coal India Limited EWS Scholarship,,Coal India Limited EWS Scholarship 2023 is an opportunity offered by Coal India Limited to students who are pursuing UG degree in Engineering and Medical course
56,SBIF Asha Scholarship Program,low-income families across India to ensure continuity of their education; first year of undergraduate studies from top NIRF universities/colleges and IITs,"SBIF Asha Scholarship Program 2023 is an initiative of the SBI Foundation under its education vertical - Integrated Learning Mission (ILM), to provide financial assistance to meritorious students from low-income families across India to ensure continuity of their education"
57,State University Research Excellence Fellowship,these institutions,State University Research Excellence Fellowship (SERB-SURE) 2023 is an initiative of the Science and Engineering Research Board (SERB) for Indian researchers
58,Medhaavi Engineering Scholarship Program,undergraduate engineering courses at specified 20 NITs across India and encourage them to pursue their higher studies; engineering courses (any year) at specified institutions will be provided with a one-time fixed scholarship of INR 50,"The Medhaavi Engineering Scholarship Program 2023-24 is a CSR initiative of Bharat Petroleum Corporation Limited (BPCL) that aims to provide financial assistance to underprivileged students pursuing undergraduate engineering courses at specified 20 NITs across India and encourage them to pursue their higher studies, gain self-confidence, achieve independence and become employable"
59,Sightsavers India Fellowship Program,,Sightsavers India Fellowship Program 2023 is an opportunity offered by Sightsavers* India for young ophthalmologists
60,IITTNiF CHANAKYA - Post-Graduate Fellowship,,IITTNiF CHANAKYA - Post-Graduate Fellowship 2023 is an opportunity offered by IIT Tirupati Navavishkar I-HUB Foundation (IITTNiF) [a not-for-profit Section-8 company] to students studying in 1st and 3rd semester of M
61,VAIBHAV Fellowship,,"VAIBHAV Fellowship 2023 is an opportunity offered by the Department of Science and Technology, New Delhi to Ph"
62,State Government Daxshina Adhichatra Scholarship,postgraduation from Government institutes and colleges and non-agricultural universities,"State Government Daxshina Adhichatra Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to provide financial assistance to students pursuing postgraduation from Government institutes and colleges and non-agricultural universities"
63,pre matric scholarships scheme for minorities,,The Government of India spends a considerable chunk of its resources for the development of various religious minorities in India
64,Post Matric Scholarships Scheme for Minorities,minority communities; class 11 to PhD are offered up to INR 10,Post Matric Scholarship for minorities is provided by the Ministry of Minority Affairs (MOMA) for the upliftment of students belonging to minority communities
65,NSP Merit Cum Means Scholarship for Professional and Technical Courses CS (Minorities),minority communities to enable them to pursue technical and professional courses,NSP Merit Cum Means Scholarship for Professional and Technical Courses CS (Minorities) 2022-23 is an initiative for minority community students who are pursuing technical or professional courses at the undergraduate or postgraduate level
66,Begum Hazrat Mahal National Scholarship,minority communities,It is a national-level scholarship started for the benefit of girl students belonging to minority communities
67,Begum Hazrat Mahal National Scholarship,minority communities,It is a national-level scholarship started for the benefit of girl students belonging to minority communities
68,Begum Hazrat Mahal National Scholarship,minority communities,It is a national-level scholarship started for the benefit of girl students belonging to minority communities
69,Begum Hazrat Mahal National Scholarship,minority communities,It is a national-level scholarship started for the benefit of girl students belonging to minority communities
70,Pre-matric Scholarship for Students with Disabilities,Class 9 or 10,NSP Pre-Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically challenged students of Class 9 or 10
71,Pre-matric Scholarship for Students with Disabilities,Class 9 or 10,NSP Pre-Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically challenged students of Class 9 or 10
72,Post-matric Scholarship for Students with Disabilities,Class 11 to postgraduate level,NSP Post Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically disabled students from Class 11 to postgraduate level
73,Post-matric Scholarship for Students with Disabilities,Class 11 to postgraduate level,NSP Post Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically disabled students from Class 11 to postgraduate level
74,Post-matric Scholarship for Students with Disabilities,Class 11 to postgraduate level,NSP Post Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically disabled students from Class 11 to postgraduate level
75,Post-matric Scholarship for Students with Disabilities,Class 11 to postgraduate level,NSP Post Matric Scholarship for Students with Disabilities 2022-23 is an initiative for physically disabled students from Class 11 to postgraduate level
76,Scholarships for Top Class Education for students with disabilities.,,"NSP Scholarships for Top Class Education for Students with Disabilities 2022-23 is an initiative of the Department of Empowerment of Persons with Disabilities, Government of India to promote quality education among disabled students who are pursuing studies at the graduate/post-graduate/diploma level"
77,Scholarships for Top Class Education for students with disabilities.,,"NSP Scholarships for Top Class Education for Students with Disabilities 2022-23 is an initiative of the Department of Empowerment of Persons with Disabilities, Government of India to promote quality education among disabled students who are pursuing studies at the graduate/post-graduate/diploma level"
78,Scholarships for Top Class Education for students with disabilities.,,"NSP Scholarships for Top Class Education for Students with Disabilities 2022-23 is an initiative of the Department of Empowerment of Persons with Disabilities, Government of India to promote quality education among disabled students who are pursuing studies at the graduate/post-graduate/diploma level"
79,Top Class Education Scheme for SC Students,Class 12 among Scheduled Caste students,"NSP Top Class Education Scheme for SC Students 2022-23 is an initiative by the Ministry of Social Justice and Empowerment, Government of India for Scheduled Caste (SC) students who have taken admission at the undergraduate or postgraduate level to pursue higher education"
80,PM Yashasvi central sector scheme of top class education in schools,OBC,"The objective of the scheme is to recognize and promote quality education amongst Students belonging to OBC, EBC and DNT categories by providing full financial support"
81,PM Yashasvi central sector scheme of top class education in schools,OBC,"The objective of the scheme is to recognize and promote quality education amongst Students belonging to OBC, EBC and DNT categories by providing full financial support"
82,PM Yashasvi central sector scheme of top class education in schools,OBC,"The objective of the scheme is to recognize and promote quality education amongst Students belonging to OBC, EBC and DNT categories by providing full financial support"
83,Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric,Class 11 to postgraduation level at any GovernmentIinstitution; Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution,NSP Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution
84,Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric,Class 11 to postgraduation level at any GovernmentIinstitution; Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution,NSP Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution
85,Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric,Class 11 to postgraduation level at any GovernmentIinstitution; Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution,NSP Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Post-Matric 2022-23 is an initiative for the students enrolled in Class 11 to postgraduation level at any GovernmentIinstitution
86,Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers - Pre-Matric,Beedi/ Cine/ IOMC/ LSDM Workers is a scholarship program for class 1 to 10 students; Beedi/ Cine/ IOMC/ LSDM Workers; class 1 to 10 in the academic year 2022-23; class 1 to 10 students; laborers to get higher education from class 1 to 10 in the academic year 2022-23; Wards of Beedi/ Cine/ IOMC/ LSDM Workers,The NSP Financial Assistance for Education of the Wards of Beedi/ Cine/ IOMC/ LSDM Workers is a scholarship program for class 1 to 10 students
87,National Means Cum Merit Scholarship,classes 9 to 12 appear for two levels of selection tests at the state level to avail the benefits of the National Means-Cum-Merit Scholarship; class 8,"Initiated in May 2008, NMMS Scholarship aims to motivate bright and disadvantaged students to complete their secondary and higher secondary levels of education so as to improve the dropout rate from schools after class 8"
88,National Means Cum Merit Scholarship,classes 9 to 12 appear for two levels of selection tests at the state level to avail the benefits of the National Means-Cum-Merit Scholarship; class 8,"Initiated in May 2008, NMMS Scholarship aims to motivate bright and disadvantaged students to complete their secondary and higher secondary levels of education so as to improve the dropout rate from schools after class 8"
89,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,low-income group families,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families"
90,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,low-income group families,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families"
91,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,low-income group families,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families"
92,CENTRAL SECTOR SCHEME OF SCHOLARSHIPS FOR COLLEGE AND UNIVERSITY STUDENTS,low-income group families,"Offered to meritorious students, the Central Sector Scholarship Scheme for College and University Students aims to provide monetary support to students from low-income group families"
93,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M; diploma/degree/postgraduate course or registered M; the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution,NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M
94,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M; diploma/degree/postgraduate course or registered M; the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution,NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M
95,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M; diploma/degree/postgraduate course or registered M; the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution,NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M
96,FINANCIAL SUPPORT TO THE STUDENTS OF NER FOR HIGHER PROFESSIONAL COURSES(NEC MERIT SCHOLARSHIP),NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M; diploma/degree/postgraduate course or registered M; the North-Eastern Region undergoing studies in various disciplines at a recognized Indian institution,NEC Merit Scholarship for Students of NER 2022-23 is an initiative for students pursuing diploma/degree/postgraduate course or registered M
