ID,State,Name,Category,Income,Qualification,Eligible Courses,Preference,Minimum Qualification,Description,Type,Award Amount,Duration,Application Deadline,Selection Process
11,Rajasthan,Empowerment Law Scholarship by Indian Education Trust,Minority,500000,Ph.D.,Engineering,the all category,78% in Class 12 or equivalent,Empowerment Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 81368 per year.,NGO,INR 81368,1 years,2th August 2025,Not Specified (likely Need-Based)
12,Kerala,Empowerment Literature Scholarship by IIT Foundation,OBC,750000,Ph.D.,Diploma,the SEBC category,71% in Class 12 or equivalent,Empowerment Literature Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 8899 per year.,International,INR 8899,3 years,24th September 2025,Not Specified (likely Need-Based)
13,Madhya Pradesh,Global Economics Scholarship by Indian Science Society,General,500000,HSC,HSC,the EWS category,83% in Class 12 or equivalent,Global Economics Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 91768 per year.,Corporate,INR 91768,2 years,10th June 2025,Not Specified (likely Need-Based)
14,Telangana,Research Social Sciences Scholarship by Indian Science Society,General,1500000,Diploma,Diploma,the General category,60% in Class 12 or equivalent,Research Social Sciences Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 132110 per year.,Government,INR 132110,1 years,7th September 2025,Not Specified (likely Need-Based)
15,Delhi,Innovation Medical Scholarship by Indian Education Trust,General,0,Engineering,Medical,the ST category,56% in Class 12 or equivalent,Innovation Medical Scholarship by Indian Education Trust provides financial assistance to students in General category. The award amount is INR 17736 per year.,Corporate,INR 17736,3 years,17th August 2025,Not Specified (likely Need-Based)
16,Bihar,Sustainability Entrepreneurship Scholarship by Indian Government,all,250000,Diploma,Diploma,the SC category,60% in Class 12 or equivalent,Sustainability Entrepreneurship Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 101518 per year.,International,INR 101518,2 years,27th July 2025,Not Specified (likely Need-Based)
17,Uttarakhand,Diversity Social Sciences Scholarship by IIT Foundation,ST,250000,HSC,Diploma,the SEBC category,72% in Class 12 or equivalent,Diversity Social Sciences Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 41507 per year.,Corporate,INR 41507,4 years,20th August 2025,Not Specified (likely Need-Based)
18,Rajasthan,Innovation STEM Scholarship by Tata Foundation,EWS,1500000,Ph.D.,HSC,the SC category,64% in Class 12 or equivalent,Innovation STEM Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 18067 per year.,International,INR 18067,2 years,16th June 2025,Not Specified (likely Need-Based)
19,Tamil Nadu,Empowerment Law Scholarship by IIT Foundation,EWS,250000,Engineering,Post-Graduation,the OBC category,68% in Class 12 or equivalent,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 56632 per year.,NGO,INR 56632,3 years,28th August 2025,Not Specified (likely Need-Based)
20,Gujarat,Global Engineering Scholarship by Indian Science Society,OBC,750000,Engineering,Engineering,the SEBC category,90% in Class 12 or equivalent,Global Engineering Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 141156 per year.,Corporate,INR 141156,2 years,13th September 2025,Not Specified (likely Need-Based)
21,Maharashtra,Community Economics Scholarship by JNU Research,ST,0,Engineering,Diploma,the all category,60% in Class 12 or equivalent,Community Economics Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 123337 per year.,Corporate,INR 123337,4 years,19th July 2025,Not Specified (likely Need-Based)
22,Telangana,Empowerment Economics Scholarship by Tata Foundation,SC,750000,HSC,Medical,the ST category,80% in Class 12 or equivalent,Empowerment Economics Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 61361 per year.,Government,INR 61361,1 years,17th September 2025,Not Specified (likely Need-Based)
23,Punjab,Sustainability Agriculture Scholarship by Indian Government,SC,250000,HSC,Post-Graduation,the EWS category,52% in Class 12 or equivalent,Sustainability Agriculture Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 147143 per year.,Government,INR 147143,3 years,1th June 2025,Not Specified (likely Need-Based)
24,Delhi,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust,SEBC,1500000,Medical,Post-Graduation,the SC category,87% in Class 12 or equivalent,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SEBC category. The award amount is INR 82443 per year.,Government,INR 82443,3 years,15th August 2025,Not Specified (likely Need-Based)
25,Madhya Pradesh,Community Engineering Scholarship by Tata Foundation,all,1000000,Ph.D.,Post-Graduation,the SEBC category,77% in Class 12 or equivalent,Community Engineering Scholarship by Tata Foundation provides financial assistance to students in all category. The award amount is INR 10960 per year.,Government,INR 10960,1 years,22th July 2025,Not Specified (likely Need-Based)
26,Odisha,Excellence Literature Scholarship by Indian Science Society,EWS,1000000,Graduation,Engineering,the ST category,90% in Class 12 or equivalent,Excellence Literature Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 147177 per year.,Private,INR 147177,1 years,17th August 2025,Not Specified (likely Need-Based)
27,Madhya Pradesh,Sustainability Engineering Scholarship by Indian Science Society,ST,250000,Diploma,Graduation,the General category,80% in Class 12 or equivalent,Sustainability Engineering Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 119472 per year.,NGO,INR 119472,2 years,2th September 2025,Not Specified (likely Need-Based)
28,Rajasthan,Global Medical Scholarship by Tata Foundation,ST,750000,Ph.D.,Graduation,the General category,54% in Class 12 or equivalent,Global Medical Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 34597 per year.,NGO,INR 34597,3 years,10th August 2025,Not Specified (likely Need-Based)
29,Bihar,Sustainability Arts Scholarship by IIT Foundation,EWS,500000,Post-Graduation,Post-Graduation,the SC category,67% in Class 12 or equivalent,Sustainability Arts Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 126117 per year.,Corporate,INR 126117,4 years,8th August 2025,Not Specified (likely Need-Based)
30,Tamil Nadu,Diversity Agriculture Scholarship by Indian Science Society,OBC,1500000,Diploma,Graduation,the OBC category,50% in Class 12 or equivalent,Diversity Agriculture Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 69234 per year.,International,INR 69234,1 years,7th June 2025,Not Specified (likely Need-Based)
31,Chhattisgarh,Innovation Engineering Scholarship by JNU Research,EWS,1500000,Ph.D.,HSC,the EWS category,62% in Class 12 or equivalent,Innovation Engineering Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 126507 per year.,Corporate,INR 126507,3 years,20th September 2025,Not Specified (likely Need-Based)
32,Haryana,Sustainability Social Sciences Scholarship by Ambani Institute,SEBC,500000,Engineering,Diploma,the OBC category,90% in Class 12 or equivalent,Sustainability Social Sciences Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 97267 per year.,Government,INR 97267,2 years,1th August 2025,Not Specified (likely Need-Based)
33,West Bengal,Leadership Medical Scholarship by Indian Government,General,250000,HSC,Engineering,the Minority category,82% in Class 12 or equivalent,Leadership Medical Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 5593 per year.,Private,INR 5593,2 years,21th July 2025,Not Specified (likely Need-Based)
34,Telangana,Innovation Social Sciences Scholarship by JNU Research,SEBC,750000,Engineering,Post-Graduation,the OBC category,88% in Class 12 or equivalent,Innovation Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 96091 per year.,Corporate,INR 96091,2 years,16th September 2025,Not Specified (likely Need-Based)
35,Chhattisgarh,Community Law Scholarship by Dr. APJ Abdul Kalam Foundation,SC,0,Medical,HSC,the SEBC category,85% in Class 12 or equivalent,Community Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 116252 per year.,Government,INR 116252,2 years,27th June 2025,Not Specified (likely Need-Based)
36,Odisha,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation,General,250000,Engineering,Diploma,the all category,80% in Class 12 or equivalent,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 14081 per year.,Government,INR 14081,1 years,25th August 2025,Not Specified (likely Need-Based)
37,Gujarat,Diversity Arts Scholarship by Indian Education Trust,SC,0,Post-Graduation,Ph,the SC category,69% in Class 12 or equivalent,Diversity Arts Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 13262 per year.,Private,INR 13262,4 years,20th June 2025,Not Specified (likely Need-Based)
38,Tamil Nadu,Empowerment Agriculture Scholarship by Indian Science Society,all,500000,Engineering,Diploma,the all category,72% in Class 12 or equivalent,Empowerment Agriculture Scholarship by Indian Science Society provides financial assistance to students in all category. The award amount is INR 149503 per year.,NGO,INR 149503,4 years,26th September 2025,Not Specified (likely Need-Based)
39,Uttarakhand,Youth Engineering Scholarship by IIT Foundation,OBC,1000000,Medical,Graduation,the Minority category,69% in Class 12 or equivalent,Youth Engineering Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 46589 per year.,Government,INR 46589,1 years,14th August 2025,Not Specified (likely Need-Based)
40,Uttar Pradesh,Innovation STEM Scholarship by Indian Science Society,General,1000000,Diploma,Graduation,the Minority category,72% in Class 12 or equivalent,Innovation STEM Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 113788 per year.,Corporate,INR 113788,1 years,28th July 2025,Not Specified (likely Need-Based)
41,Kerala,Leadership STEM Scholarship by Ambani Institute,OBC,1500000,Medical,Ph,the SC category,87% in Class 12 or equivalent,Leadership STEM Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 30644 per year.,Government,INR 30644,3 years,5th August 2025,Not Specified (likely Need-Based)
42,Haryana,Leadership Social Sciences Scholarship by Bharti Enterprises,SEBC,1500000,Medical,Post-Graduation,the SC category,80% in Class 12 or equivalent,Leadership Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 40353 per year.,NGO,INR 40353,1 years,11th June 2025,Not Specified (likely Need-Based)
43,Delhi,Sustainability Entrepreneurship Scholarship by Indian Education Trust,EWS,750000,Diploma,Diploma,the ST category,59% in Class 12 or equivalent,Sustainability Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 63324 per year.,International,INR 63324,2 years,23th June 2025,Not Specified (likely Need-Based)
44,Andhra Pradesh,Global Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation,SC,250000,HSC,Diploma,the SEBC category,80% in Class 12 or equivalent,Global Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 91822 per year.,Government,INR 91822,1 years,2th July 2025,Not Specified (likely Need-Based)
45,Haryana,Empowerment Social Sciences Scholarship by JNU Research,SEBC,250000,Diploma,Ph,the SC category,57% in Class 12 or equivalent,Empowerment Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 102060 per year.,Corporate,INR 102060,4 years,5th September 2025,Not Specified (likely Need-Based)
46,Chhattisgarh,Research Engineering Scholarship by Indian Science Society,Minority,1000000,Graduation,Ph,the Minority category,81% in Class 12 or equivalent,Research Engineering Scholarship by Indian Science Society provides financial assistance to students in Minority category. The award amount is INR 72245 per year.,Private,INR 72245,1 years,19th July 2025,Not Specified (likely Need-Based)
47,Rajasthan,Innovation Arts Scholarship by IIT Foundation,Minority,1500000,Post-Graduation,HSC,the all category,67% in Class 12 or equivalent,Innovation Arts Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 133906 per year.,NGO,INR 133906,2 years,22th September 2025,Not Specified (likely Need-Based)
48,Assam,Excellence Engineering Scholarship by Tata Foundation,SC,500000,Post-Graduation,HSC,the OBC category,55% in Class 12 or equivalent,Excellence Engineering Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 48861 per year.,NGO,INR 48861,3 years,15th July 2025,Not Specified (likely Need-Based)
49,Haryana,Empowerment Engineering Scholarship by IIT Foundation,Minority,500000,Post-Graduation,Diploma,the OBC category,59% in Class 12 or equivalent,Empowerment Engineering Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 67373 per year.,Government,INR 67373,2 years,2th August 2025,Not Specified (likely Need-Based)
50,Maharashtra,Merit Arts Scholarship by JNU Research,EWS,750000,Graduation,Post-Graduation,the OBC category,55% in Class 12 or equivalent,Merit Arts Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 31822 per year.,NGO,INR 31822,2 years,15th August 2025,Not Specified (likely Need-Based)
51,Kerala,Diversity Arts Scholarship by Mahatma Gandhi Trust,Minority,750000,Graduation,Post-Graduation,the Minority category,58% in Class 12 or equivalent,Diversity Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 111186 per year.,International,INR 111186,4 years,12th August 2025,Not Specified (likely Need-Based)
52,Delhi,Community Law Scholarship by IIT Foundation,ST,1000000,Medical,HSC,the Minority category,63% in Class 12 or equivalent,Community Law Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 28503 per year.,Private,INR 28503,2 years,8th July 2025,Not Specified (likely Need-Based)
53,Assam,Diversity Law Scholarship by Indian Education Trust,Minority,750000,Ph.D.,Ph,the ST category,84% in Class 12 or equivalent,Diversity Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 99860 per year.,Corporate,INR 99860,3 years,12th July 2025,Not Specified (likely Need-Based)
54,Rajasthan,Empowerment Law Scholarship by IIT Foundation,ST,250000,Post-Graduation,HSC,the EWS category,85% in Class 12 or equivalent,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 27109 per year.,NGO,INR 27109,4 years,12th June 2025,Not Specified (likely Need-Based)
55,Uttarakhand,Excellence Literature Scholarship by IIT Foundation,SC,1000000,Graduation,Graduation,the Minority category,51% in Class 12 or equivalent,Excellence Literature Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 89341 per year.,Corporate,INR 89341,3 years,13th July 2025,Not Specified (likely Need-Based)
56,Odisha,Development Entrepreneurship Scholarship by Tata Foundation,ST,500000,Graduation,Ph,the SC category,65% in Class 12 or equivalent,Development Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 76667 per year.,Corporate,INR 76667,4 years,18th August 2025,Not Specified (likely Need-Based)
57,Delhi,Research Economics Scholarship by Bharti Enterprises,General,1000000,HSC,Post-Graduation,the EWS category,50% in Class 12 or equivalent,Research Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 136904 per year.,Private,INR 136904,1 years,9th September 2025,Not Specified (likely Need-Based)
58,Chhattisgarh,Development Medical Scholarship by Mahatma Gandhi Trust,EWS,750000,HSC,Engineering,the all category,73% in Class 12 or equivalent,Development Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 35014 per year.,Government,INR 35014,1 years,17th September 2025,Not Specified (likely Need-Based)
59,Jharkhand,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust,all,250000,Graduation,Graduation,the all category,59% in Class 12 or equivalent,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 105375 per year.,Government,INR 105375,4 years,10th June 2025,Not Specified (likely Need-Based)
60,West Bengal,Research Agriculture Scholarship by JNU Research,EWS,0,HSC,HSC,the SEBC category,81% in Class 12 or equivalent,Research Agriculture Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 105713 per year.,Government,INR 105713,1 years,12th July 2025,Not Specified (likely Need-Based)
61,Telangana,Community Engineering Scholarship by Tata Foundation,SC,0,Diploma,Diploma,the all category,53% in Class 12 or equivalent,Community Engineering Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 134731 per year.,Corporate,INR 134731,3 years,9th July 2025,Not Specified (likely Need-Based)
62,Gujarat,Innovation Engineering Scholarship by JNU Research,General,750000,Graduation,Post-Graduation,the SEBC category,65% in Class 12 or equivalent,Innovation Engineering Scholarship by JNU Research provides financial assistance to students in General category. The award amount is INR 45388 per year.,NGO,INR 45388,2 years,7th August 2025,Not Specified (likely Need-Based)
63,Assam,Merit Literature Scholarship by Tata Foundation,ST,1500000,Medical,Medical,the OBC category,60% in Class 12 or equivalent,Merit Literature Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 12108 per year.,NGO,INR 12108,1 years,19th August 2025,Not Specified (likely Need-Based)
64,Delhi,Sustainability Economics Scholarship by JNU Research,Minority,750000,HSC,Medical,the ST category,57% in Class 12 or equivalent,Sustainability Economics Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 148390 per year.,Government,INR 148390,1 years,4th September 2025,Not Specified (likely Need-Based)
65,Punjab,Community Agriculture Scholarship by Indian Government,EWS,500000,Graduation,Medical,the General category,50% in Class 12 or equivalent,Community Agriculture Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 41014 per year.,NGO,INR 41014,3 years,20th August 2025,Not Specified (likely Need-Based)
66,Maharashtra,Development STEM Scholarship by Indian Science Society,EWS,500000,HSC,HSC,the all category,52% in Class 12 or equivalent,Development STEM Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 20775 per year.,Corporate,INR 20775,4 years,12th September 2025,Not Specified (likely Need-Based)
67,Assam,Merit STEM Scholarship by IIT Foundation,OBC,500000,Engineering,Graduation,the ST category,74% in Class 12 or equivalent,Merit STEM Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 10622 per year.,NGO,INR 10622,3 years,19th July 2025,Not Specified (likely Need-Based)
68,Punjab,Sustainability Entrepreneurship Scholarship by Ambani Institute,General,250000,Graduation,Diploma,the ST category,84% in Class 12 or equivalent,Sustainability Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 141442 per year.,Private,INR 141442,1 years,3th September 2025,Not Specified (likely Need-Based)
69,Odisha,Sustainability Law Scholarship by Ambani Institute,SEBC,0,Ph.D.,Ph,the SC category,67% in Class 12 or equivalent,Sustainability Law Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 147536 per year.,NGO,INR 147536,1 years,27th August 2025,Not Specified (likely Need-Based)
70,Jharkhand,Empowerment Arts Scholarship by IIT Foundation,all,1000000,Engineering,Medical,the General category,70% in Class 12 or equivalent,Empowerment Arts Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 135155 per year.,Corporate,INR 135155,3 years,7th July 2025,Not Specified (likely Need-Based)
71,Rajasthan,Research Literature Scholarship by Mahatma Gandhi Trust,Minority,1000000,Post-Graduation,Post-Graduation,the Minority category,86% in Class 12 or equivalent,Research Literature Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 79635 per year.,Government,INR 79635,1 years,28th July 2025,Not Specified (likely Need-Based)
72,Punjab,Merit Social Sciences Scholarship by Indian Government,EWS,0,Post-Graduation,Post-Graduation,the all category,71% in Class 12 or equivalent,Merit Social Sciences Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 81398 per year.,International,INR 81398,4 years,3th September 2025,Not Specified (likely Need-Based)
73,Jharkhand,Innovation STEM Scholarship by Indian Education Trust,ST,250000,Post-Graduation,Graduation,the Minority category,82% in Class 12 or equivalent,Innovation STEM Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 110530 per year.,International,INR 110530,2 years,7th September 2025,Not Specified (likely Need-Based)
74,Chhattisgarh,Community Economics Scholarship by Indian Government,all,250000,Ph.D.,Graduation,the OBC category,66% in Class 12 or equivalent,Community Economics Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 124563 per year.,NGO,INR 124563,1 years,12th July 2025,Not Specified (likely Need-Based)
75,Haryana,Innovation Agriculture Scholarship by Indian Education Trust,ST,500000,Medical,Ph,the EWS category,58% in Class 12 or equivalent,Innovation Agriculture Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 52808 per year.,NGO,INR 52808,1 years,28th August 2025,Not Specified (likely Need-Based)
76,Rajasthan,Sustainability Literature Scholarship by IIT Foundation,General,1000000,Post-Graduation,Engineering,the ST category,86% in Class 12 or equivalent,Sustainability Literature Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 147573 per year.,Government,INR 147573,4 years,6th July 2025,Not Specified (likely Need-Based)
77,Gujarat,Empowerment Engineering Scholarship by IIT Foundation,SC,250000,Diploma,Ph,the SC category,61% in Class 12 or equivalent,Empowerment Engineering Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 45362 per year.,NGO,INR 45362,3 years,27th July 2025,Not Specified (likely Need-Based)
78,Uttarakhand,Development Agriculture Scholarship by Indian Science Society,ST,0,Post-Graduation,Ph,the Minority category,78% in Class 12 or equivalent,Development Agriculture Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 83966 per year.,Corporate,INR 83966,3 years,19th July 2025,Not Specified (likely Need-Based)
79,Maharashtra,Research Literature Scholarship by IIT Foundation,all,1000000,Graduation,Ph,the Minority category,58% in Class 12 or equivalent,Research Literature Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 41683 per year.,International,INR 41683,2 years,6th June 2025,Not Specified (likely Need-Based)
80,Punjab,Sustainability Medical Scholarship by Indian Education Trust,Minority,500000,Diploma,Graduation,the all category,90% in Class 12 or equivalent,Sustainability Medical Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 8473 per year.,Corporate,INR 8473,3 years,24th June 2025,Not Specified (likely Need-Based)
81,Uttar Pradesh,Sustainability Arts Scholarship by Indian Government,Minority,1500000,Engineering,Graduation,the General category,62% in Class 12 or equivalent,Sustainability Arts Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 104284 per year.,NGO,INR 104284,1 years,6th June 2025,Not Specified (likely Need-Based)
82,Assam,Research Arts Scholarship by Dr. APJ Abdul Kalam Foundation,SEBC,1500000,Graduation,Graduation,the EWS category,85% in Class 12 or equivalent,Research Arts Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SEBC category. The award amount is INR 16354 per year.,Corporate,INR 16354,1 years,13th August 2025,Not Specified (likely Need-Based)
83,Karnataka,Innovation Entrepreneurship Scholarship by Indian Education Trust,SEBC,1000000,Graduation,Ph,the OBC category,51% in Class 12 or equivalent,Innovation Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SEBC category. The award amount is INR 47251 per year.,Government,INR 47251,2 years,10th September 2025,Not Specified (likely Need-Based)
84,Odisha,Development Agriculture Scholarship by Bharti Enterprises,Minority,0,Post-Graduation,Ph,the SEBC category,90% in Class 12 or equivalent,Development Agriculture Scholarship by Bharti Enterprises provides financial assistance to students in Minority category. The award amount is INR 101764 per year.,Government,INR 101764,1 years,26th September 2025,Not Specified (likely Need-Based)
85,Rajasthan,Empowerment Literature Scholarship by Ambani Institute,OBC,1500000,Diploma,Diploma,the ST category,78% in Class 12 or equivalent,Empowerment Literature Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 5517 per year.,International,INR 5517,3 years,8th September 2025,Not Specified (likely Need-Based)
86,Karnataka,Research Arts Scholarship by IIT Foundation,SC,1500000,Diploma,Ph,the SC category,74% in Class 12 or equivalent,Research Arts Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 117393 per year.,Private,INR 117393,4 years,19th July 2025,Not Specified (likely Need-Based)
87,Andhra Pradesh,Leadership Engineering Scholarship by Mahatma Gandhi Trust,SC,250000,Diploma,Diploma,the General category,83% in Class 12 or equivalent,Leadership Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 137999 per year.,Corporate,INR 137999,3 years,3th June 2025,Not Specified (likely Need-Based)
88,Delhi,Merit STEM Scholarship by Tata Foundation,all,250000,Engineering,Diploma,the EWS category,61% in Class 12 or equivalent,Merit STEM Scholarship by Tata Foundation provides financial assistance to students in all category. The award amount is INR 148631 per year.,Government,INR 148631,4 years,5th September 2025,Not Specified (likely Need-Based)
89,Chhattisgarh,Excellence Entrepreneurship Scholarship by Tata Foundation,SEBC,500000,Medical,Ph,the SC category,52% in Class 12 or equivalent,Excellence Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 100046 per year.,Private,INR 100046,1 years,3th June 2025,Not Specified (likely Need-Based)
